column,fixed_value,precision,recall,fbeta
occupation,Adm-clerical,0.5643564356435643,0.5229357798165137,0.5428571428571429
occupation,Craft-repair,0.4945652173913043,0.5055555555555555,0.5
occupation,Farming-fishing,0.2608695652173913,0.3157894736842105,0.28571428571428575
occupation,Exec-managerial,0.7175,0.7321428571428571,0.7247474747474748
marital-status,Married-AF-spouse,0.5,0.2,0.28571428571428575
marital-status,Married-spouse-absent,0.3076923076923077,0.5,0.380952380952381
marital-status,Widowed,0.3076923076923077,0.2857142857142857,0.29629629629629634
marital-status,Divorced,0.3780487804878049,0.38271604938271603,0.3803680981595092
marital-status,Separated,0.35294117647058826,0.46153846153846156,0.4000000000000001
marital-status,Never-married,0.44086021505376344,0.44086021505376344,0.44086021505376344
marital-status,Married-civ-spouse,0.6453794139744553,0.6473247927656368,0.6463506395786305
education,1st-4th,0.0,0.0,0.0
education,9th,0.2222222222222222,0.2857142857142857,0.25
education,11th,0.16666666666666666,0.25,0.2
education,5th-6th,0.5,0.3333333333333333,0.4
education,Doctorate,0.84375,0.84375,0.84375
education,Masters,0.7427184466019418,0.765,0.7536945812807883
education,Assoc-acdm,0.5510204081632653,0.5510204081632653,0.5510204081632653
education,Prof-school,0.8860759493670886,0.8045977011494253,0.8433734939759037
education,10th,0.5,0.35714285714285715,0.41666666666666663
education,Assoc-voc,0.4520547945205479,0.55,0.49624060150375937
education,Preschool,1.0,1.0,1.0
education,Some-college,0.5445205479452054,0.5598591549295775,0.5520833333333333
education,12th,1.0,0.3,0.4615384615384615
education,HS-grad,0.44642857142857145,0.45454545454545453,0.45045045045045046
education,7th-8th,0.09090909090909091,0.1,0.09523809523809525
education,Bachelors,0.7171717171717171,0.6977886977886978,0.7073474470734744
workclass,Without-pay,0.0,1.0,0.0
workclass,Never-worked,1.0,1.0,1.0
workclass,State-gov,0.573170731707317,0.6811594202898551,0.6225165562913908
workclass,Self-emp-not-inc,0.5197368421052632,0.5302013422818792,0.5249169435215947
workclass,Federal-gov,0.618421052631579,0.5802469135802469,0.5987261146496815
workclass,?,0.5348837209302325,0.6216216216216216,0.575
workclass,Local-gov,0.6470588235294118,0.6062992125984252,0.6260162601626016
workclass,Self-emp-inc,0.7857142857142857,0.7272727272727273,0.7553648068669527
workclass,Private,0.6055900621118012,0.6112852664576802,0.608424336973479
